window_label,year,revenue,net_income,average_diluted_shares,rev_per_share,net_margin,eps
2015_2025,2015,74989.0,16348.0,13858.6,5.411008326959433,0.21800530744509194,1.1796285339067438
2015_2025,2016,90272.0,19478.0,13974.095,6.459953220584231,0.2157701169797944,1.3938648620894591
2015_2025,2017,110855.0,12662.0,14019.295,7.9073163094149885,0.11422128005051645,0.9031837906257055
2015_2025,2018,136819.0,30736.0,14065.695,9.727141104652134,0.22464716157843576,2.185174639433032
2015_2025,2019,161857.0,34343.0,13971.13,11.58510442605573,0.2121811228430034,2.4581404653739534
2015_2025,2020,182527.0,40269.0,13740.555,13.283815682845416,0.22061941520980458,2.9306676477041864
2015_2025,2021,257637.0,76033.0,13553.475,19.008925755203002,0.2951167728237792,5.6098528237223295
2015_2025,2022,282836.0,59972.0,13158.505,21.49453908327732,0.2120380715326196,4.5576606157006445
2015_2025,2023,307394.0,73795.0,12721.25,24.163820379286626,0.24006649446638517,5.800923651370738
2015_2025,2024,350018.0,100118.0,12447.25,28.120106850910844,0.28603671811164,8.043383076583181
2015_2025,2025,402836.0,132170.0,12230.0,32.938348323793946,0.3280987796522654,10.807031888798038
2010_2025,2010,29321.0,8505.0,646.502,45.353301304559,0.29006514102520375,13.155411738865464
2010_2025,2011,37905.0,9737.0,654.428,57.92081023428093,0.25687903970452447,14.878642111890079
2010_2025,2012,50175.0,10737.0,664.61,75.49540331923986,0.21399103139013453,16.155339221498323
2010_2025,2013,55519.0,12733.0,677.618,81.93259329002476,0.22934490895008916,18.790823148145414
2010_2025,2014,66001.0,14136.0,13533.0809724372,4.877012125651514,0.21417857305192345,1.0445514978289692
2010_2025,2015,74989.0,16348.0,13858.6,5.411008326959433,0.21800530744509194,1.1796285339067438
2010_2025,2016,90272.0,19478.0,13974.095,6.459953220584231,0.2157701169797944,1.3938648620894591
2010_2025,2017,110855.0,12662.0,14019.295,7.9073163094149885,0.11422128005051645,0.9031837906257055
2010_2025,2018,136819.0,30736.0,14065.695,9.727141104652134,0.22464716157843576,2.185174639433032
2010_2025,2019,161857.0,34343.0,13971.13,11.58510442605573,0.2121811228430034,2.4581404653739534
2010_2025,2020,182527.0,40269.0,13740.555,13.283815682845416,0.22061941520980458,2.9306676477041864
2010_2025,2021,257637.0,76033.0,13553.475,19.008925755203002,0.2951167728237792,5.6098528237223295
2010_2025,2022,282836.0,59972.0,13158.505,21.49453908327732,0.2120380715326196,4.5576606157006445
2010_2025,2023,307394.0,73795.0,12721.25,24.163820379286626,0.24006649446638517,5.800923651370738
2010_2025,2024,350018.0,100118.0,12447.25,28.120106850910844,0.28603671811164,8.043383076583181
2010_2025,2025,402836.0,132170.0,12230.0,32.938348323793946,0.3280987796522654,10.807031888798038
2001_2025,2001,86.426,6.98500000000001,373.552,0.23136270184606159,0.08082058639761194,0.018698869233734552
2001_2025,2002,439.508,99.6560000000001,441.266,0.9960160084846781,0.22674445061295836,0.22584110264557003
2001_2025,2003,1465.934,105.648,513.276,2.8560345700948417,0.07206872887865347,0.2058307811002268
2001_2025,2004,3189.223,399.119,545.562,5.845757219161158,0.12514615628947867,0.7315740465794905
2001_2025,2005,6138.56,1465.397,583.748,10.515770503710504,0.23871999296251886,2.5103246606412353
2001_2025,2006,10604.917,3077.446,619.096,17.129681018775763,0.2901904842819609,4.970870430434052
2001_2025,2007,16593.986,4203.72,632.42,26.238869738464945,0.2533279225377194,6.647038360583157
2001_2025,2008,21795.55,4226.858,635.028,34.32218736811605,0.1939321558758554,6.656175790673797
2001_2025,2009,23650.563,6520.448,638.832,37.021569051018105,0.2756994833484514,10.20682746011471
2001_2025,2010,29321.0,8505.0,646.502,45.353301304559,0.29006514102520375,13.155411738865464
2001_2025,2011,37905.0,9737.0,654.428,57.92081023428093,0.25687903970452447,14.878642111890079
2001_2025,2012,50175.0,10737.0,664.61,75.49540331923986,0.21399103139013453,16.155339221498323
2001_2025,2013,55519.0,12733.0,677.618,81.93259329002476,0.22934490895008916,18.790823148145414
2001_2025,2014,66001.0,14136.0,13533.0809724372,4.877012125651514,0.21417857305192345,1.0445514978289692
2001_2025,2015,74989.0,16348.0,13858.6,5.411008326959433,0.21800530744509194,1.1796285339067438
2001_2025,2016,90272.0,19478.0,13974.095,6.459953220584231,0.2157701169797944,1.3938648620894591
2001_2025,2017,110855.0,12662.0,14019.295,7.9073163094149885,0.11422128005051645,0.9031837906257055
2001_2025,2018,136819.0,30736.0,14065.695,9.727141104652134,0.22464716157843576,2.185174639433032
2001_2025,2019,161857.0,34343.0,13971.13,11.58510442605573,0.2121811228430034,2.4581404653739534
2001_2025,2020,182527.0,40269.0,13740.555,13.283815682845416,0.22061941520980458,2.9306676477041864
2001_2025,2021,257637.0,76033.0,13553.475,19.008925755203002,0.2951167728237792,5.6098528237223295
2001_2025,2022,282836.0,59972.0,13158.505,21.49453908327732,0.2120380715326196,4.5576606157006445
2001_2025,2023,307394.0,73795.0,12721.25,24.163820379286626,0.24006649446638517,5.800923651370738
2001_2025,2024,350018.0,100118.0,12447.25,28.120106850910844,0.28603671811164,8.043383076583181
2001_2025,2025,402836.0,132170.0,12230.0,32.938348323793946,0.3280987796522654,10.807031888798038
