window_label,from_year,to_year,period,revenue_growth,net_margin_growth,share_count_growth,eps_growth,share_count_effect_simple,revenue_log_contribution,net_margin_log_contribution,share_count_log_contribution,rev_per_share_log_contribution,eps_log_change,tie_out_gap,largest_driver,largest_driver_direction,largest_driver_abs_log_contribution,rank_1_factor,rank_1_log_contribution,rank_2_factor,rank_2_log_contribution,rank_3_factor,rank_3_log_contribution,has_offsetting_factors,eps_direction
2015_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.008333814382404992,0.18161338253933068,-0.008333814382404992,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.1771866188185085,0.1668807779489357,-5.551115123125783e-17,revenue,positive,0.1854858987065493,revenue,0.1854858987065493,net_margin,-0.01030584086957276,share_count,-0.00829927988804079,yes,positive
2015_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,0.0032345565133198306,-0.35202915634748344,-0.0032345565133198306,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612086,-0.4339095780055395,-1.6653345369377348e-16,net_margin,negative,0.6360759476416602,net_margin,-0.6360759476416602,revenue,0.20539570622458758,share_count,-0.003229336588466706,yes,negative
2015_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,0.0033097242051043363,1.4194130387561446,-0.0033097242051043363,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576037,0.8835249647810293,-3.3306690738754696e-16,net_margin,positive,0.6763933805152692,net_margin,0.6763933805152692,revenue,0.2104358433889969,share_count,-0.003304259123236539,yes,positive
2015_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,-0.006723094735098467,0.12491716726666091,0.006723094735098467,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.1748001414712635,0.11770940384932707,9.71445146547012e-17,revenue,positive,0.16805434492660015,revenue,0.16805434492660015,net_margin,-0.057090737621936505,share_count,0.006745796544663331,yes,positive
2015_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,-0.016503675794298567,0.19222952837170282,0.016503675794298567,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.13682625654787892,0.17582510746518046,-5.551115123125783e-17,revenue,positive,0.12018487792544265,revenue,0.12018487792544265,net_margin,0.03899885091730162,share_count,0.01664137862243626,no,positive
2015_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,-0.013615170566254386,0.9141893582225031,0.013615170566254386,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895,-1.1102230246251565e-16,revenue,positive,0.34465351017104895,revenue,0.34465351017104895,net_margin,0.29093200422587834,share_count,0.013708706980862195,no,positive
2015_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.029141603906009395,-0.18756146392509443,0.029141603906009395,0.09331560690852661,-0.3306052768464057,0.029574654390378728,0.12289026129890535,-0.20771501554750033,5.551115123125783e-17,net_margin,negative,0.3306052768464057,net_margin,-0.3306052768464057,revenue,0.09331560690852661,share_count,0.029574654390378728,yes,negative
2015_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,-0.03322983880007635,0.27278534768192,0.03322983880007635,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.11705758210288497,0.24120768609736518,8.326672684688674e-17,net_margin,positive,0.12415010399448012,net_margin,0.12415010399448012,revenue,0.0832630880066023,share_count,0.033794494096282664,no,positive
2015_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,-0.02153876387933573,0.386569374117268,0.02153876387933573,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.15162837790687844,0.3268326202473301,0.0,net_margin,positive,0.17520424234045173,net_margin,0.17520424234045173,revenue,0.1298542693610936,share_count,0.021774108545784845,no,positive
2015_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,-0.01745365442165936,0.34359283723048173,0.01745365442165936,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.1581527147767539,0.29534724771356924,2.7755575615628914e-16,revenue,positive,0.14054494949761556,revenue,0.14054494949761556,net_margin,0.13719453293681502,share_count,0.017607765279138352,no,positive
2010_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.012259822862110248,0.1309902272335286,-0.012259822862110248,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,0.24459376678811723,0.12309355627749004,8.326672684688674e-17,revenue,positive,0.2567790466594214,revenue,0.2567790466594214,net_margin,-0.12150021051062727,share_count,-0.012185279871304197,yes,positive
2010_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.015558625242196422,0.08580736736640682,-0.015558625242196422,0.28043386517413466,-0.18267120671875528,-0.015438830792641665,0.26499503438149297,0.08232382766273771,0.0,revenue,positive,0.28043386517413466,revenue,0.28043386517413466,net_margin,-0.18267120671875528,share_count,-0.015438830792641665,yes,positive
2010_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.019572380794751876,0.16313392684073058,-0.019572380794751876,0.10120840982656026,0.06929291831273993,-0.01938330487787237,0.08182510494868789,0.15111802326142773,-8.326672684688674e-17,revenue,positive,0.10120840982656026,revenue,0.10120840982656026,net_margin,0.06929291831273993,share_count,-0.01938330487787237,yes,positive
2010_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,-0.001422558695518772,0.11176768531511883,0.001422558695518772,0.1729445889178319,-0.06841690249173527,0.001423571492762839,0.17436816041059475,0.1059512579188595,1.3877787807814457e-17,revenue,positive,0.1729445889178319,revenue,0.1729445889178319,net_margin,-0.06841690249173527,share_count,0.001423571492762839,yes,positive
2010_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.02405357865114266,0.129315822492738,-0.02405357865114266,0.12767154268624245,0.01770928799839314,-0.02376884815002728,0.10390269453621517,0.12161198253460828,-2.7755575615628914e-17,revenue,positive,0.12767154268624245,revenue,0.12767154268624245,share_count,-0.02376884815002728,net_margin,0.01770928799839314,yes,positive
2010_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.008333814382404992,0.18161338253933068,-0.008333814382404992,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.1771866188185085,0.1668807779489357,-5.551115123125783e-17,revenue,positive,0.1854858987065493,revenue,0.1854858987065493,net_margin,-0.01030584086957276,share_count,-0.00829927988804079,yes,positive
2010_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,0.0032345565133198306,-0.35202915634748344,-0.0032345565133198306,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612086,-0.4339095780055395,-1.6653345369377348e-16,net_margin,negative,0.6360759476416602,net_margin,-0.6360759476416602,revenue,0.20539570622458758,share_count,-0.003229336588466706,yes,negative
2010_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,0.0033097242051043363,1.4194130387561446,-0.0033097242051043363,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576037,0.8835249647810293,-3.3306690738754696e-16,net_margin,positive,0.6763933805152692,net_margin,0.6763933805152692,revenue,0.2104358433889969,share_count,-0.003304259123236539,yes,positive
2010_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,-0.006723094735098467,0.12491716726666091,0.006723094735098467,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.1748001414712635,0.11770940384932707,9.71445146547012e-17,revenue,positive,0.16805434492660015,revenue,0.16805434492660015,net_margin,-0.057090737621936505,share_count,0.006745796544663331,yes,positive
2010_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,-0.016503675794298567,0.19222952837170282,0.016503675794298567,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.13682625654787892,0.17582510746518046,-5.551115123125783e-17,revenue,positive,0.12018487792544265,revenue,0.12018487792544265,net_margin,0.03899885091730162,share_count,0.01664137862243626,no,positive
2010_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,-0.013615170566254386,0.9141893582225031,0.013615170566254386,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895,-1.1102230246251565e-16,revenue,positive,0.34465351017104895,revenue,0.34465351017104895,net_margin,0.29093200422587834,share_count,0.013708706980862195,no,positive
2010_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.029141603906009395,-0.18756146392509443,0.029141603906009395,0.09331560690852661,-0.3306052768464057,0.029574654390378728,0.12289026129890535,-0.20771501554750033,5.551115123125783e-17,net_margin,negative,0.3306052768464057,net_margin,-0.3306052768464057,revenue,0.09331560690852661,share_count,0.029574654390378728,yes,negative
2010_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,-0.03322983880007635,0.27278534768192,0.03322983880007635,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.11705758210288497,0.24120768609736518,8.326672684688674e-17,net_margin,positive,0.12415010399448012,net_margin,0.12415010399448012,revenue,0.0832630880066023,share_count,0.033794494096282664,no,positive
2010_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,-0.02153876387933573,0.386569374117268,0.02153876387933573,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.15162837790687844,0.3268326202473301,0.0,net_margin,positive,0.17520424234045173,net_margin,0.17520424234045173,revenue,0.1298542693610936,share_count,0.021774108545784845,no,positive
2010_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,-0.01745365442165936,0.34359283723048173,0.01745365442165936,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.1581527147767539,0.29534724771356924,2.7755575615628914e-16,revenue,positive,0.14054494949761556,revenue,0.14054494949761556,net_margin,0.13719453293681502,share_count,0.017607765279138352,no,positive
2001_2025,2001,2002,2001-2002,4.085367829125494,1.8055284021010038,0.18127061292671431,11.077794642155741,-0.18127061292671431,1.6263673629956013,1.0315918998792648,-0.16659064977025365,1.4597767132253476,2.4913686131046124,4.440892098500626e-16,revenue,positive,1.6263673629956013,revenue,1.6263673629956013,net_margin,1.0315918998792648,share_count,-0.16659064977025365,yes,positive
2001_2025,2002,2003,2002-2003,2.33539776295312,-0.6821587973428676,0.1631895500673064,-0.08860354165356255,-0.1631895500673064,1.2045919415068858,-1.1462033836384629,-0.15116584397693747,1.0534260975299483,-0.09277728610851453,4.163336342344337e-17,revenue,positive,1.2045919415068858,revenue,1.2045919415068858,net_margin,-1.1462033836384629,share_count,-0.15116584397693747,yes,negative
2001_2025,2003,2004,2003-2004,1.17555701689162,0.7364834684429487,0.06290183059406629,2.554249965282207,-0.06290183059406629,0.777284731472997,0.5518620731123041,-0.061002743819596625,0.7162819876534005,1.2681440607657044,-2.220446049250313e-16,revenue,positive,0.777284731472997,revenue,0.777284731472997,net_margin,0.5518620731123041,share_count,-0.061002743819596625,yes,positive
2001_2025,2004,2005,2004-2005,0.9247823059096214,0.9075295641548091,0.0699938778727256,2.4314020192192145,-0.0699938778727256,0.6548128735056781,0.6458089829579721,-0.06765292684317116,0.5871599466625069,1.2329689296204789,-2.220446049250313e-16,revenue,positive,0.6548128735056781,revenue,0.6548128735056781,net_margin,0.6458089829579721,share_count,-0.06765292684317116,yes,positive
2001_2025,2005,2006,2005-2006,0.7275903469217535,0.21561030846512885,0.060553526521718304,0.9801703374751125,-0.060553526521718304,0.5467275745232472,0.19524626217025784,-0.05879096665951106,0.4879366078637361,0.6831828700339939,0.0,revenue,positive,0.5467275745232472,revenue,0.5467275745232472,net_margin,0.19524626217025784,share_count,-0.05879096665951106,yes,positive
2001_2025,2006,2007,2006-2007,0.5647445425551187,-0.12702884395211367,0.02152170261154973,0.33719807297466486,-0.02152170261154973,0.44772257907421664,-0.1358527637251543,-0.021293380876134936,0.4264291981980817,0.2905764344729273,-1.1102230246251565e-16,revenue,positive,0.44772257907421664,revenue,0.44772257907421664,net_margin,-0.1358527637251543,share_count,-0.021293380876134936,yes,positive
2001_2025,2007,2008,2007-2008,0.3134607923617627,-0.23446198139891283,0.004123841750735213,0.0013746618561469859,-0.004123841750735213,0.2726654799543308,-0.26717640006072724,-0.004115362020060334,0.26855011793427047,0.001373717873543169,-8.521829075736065e-17,revenue,positive,0.2726654799543308,revenue,0.2726654799543308,net_margin,-0.26717640006072724,share_count,-0.004115362020060334,yes,positive
2001_2025,2008,2009,2008-2009,0.0851097127624676,0.42162851799027545,0.005990287042461073,0.5334371839181076,-0.005990287042461073,0.0816810996337938,0.3518030581454717,-0.005972416603562708,0.0757086830302311,0.4275117411757028,0.0,net_margin,positive,0.3518030581454717,net_margin,0.3518030581454717,revenue,0.0816810996337938,share_count,-0.005972416603562708,yes,positive
2001_2025,2009,2010,2009-2010,0.23975907042889433,0.05210621906968127,0.012006286472812988,0.28888352333503775,-0.012006286472812988,0.21491706269742145,0.05079407791593794,-0.01193478277563695,0.2029822799217845,0.25377635783772245,5.551115123125783e-17,revenue,positive,0.21491706269742145,revenue,0.21491706269742145,net_margin,0.05079407791593794,share_count,-0.01193478277563695,yes,positive
2001_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.012259822862110248,0.1309902272335286,-0.012259822862110248,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,0.24459376678811723,0.12309355627749004,8.326672684688674e-17,revenue,positive,0.2567790466594214,revenue,0.2567790466594214,net_margin,-0.12150021051062727,share_count,-0.012185279871304197,yes,positive
2001_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.015558625242196422,0.08580736736640682,-0.015558625242196422,0.28043386517413466,-0.18267120671875528,-0.015438830792641665,0.26499503438149297,0.08232382766273771,0.0,revenue,positive,0.28043386517413466,revenue,0.28043386517413466,net_margin,-0.18267120671875528,share_count,-0.015438830792641665,yes,positive
2001_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.019572380794751876,0.16313392684073058,-0.019572380794751876,0.10120840982656026,0.06929291831273993,-0.01938330487787237,0.08182510494868789,0.15111802326142773,-8.326672684688674e-17,revenue,positive,0.10120840982656026,revenue,0.10120840982656026,net_margin,0.06929291831273993,share_count,-0.01938330487787237,yes,positive
2001_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,-0.001422558695518772,0.11176768531511883,0.001422558695518772,0.1729445889178319,-0.06841690249173527,0.001423571492762839,0.17436816041059475,0.1059512579188595,1.3877787807814457e-17,revenue,positive,0.1729445889178319,revenue,0.1729445889178319,net_margin,-0.06841690249173527,share_count,0.001423571492762839,yes,positive
2001_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.02405357865114266,0.129315822492738,-0.02405357865114266,0.12767154268624245,0.01770928799839314,-0.02376884815002728,0.10390269453621517,0.12161198253460828,-2.7755575615628914e-17,revenue,positive,0.12767154268624245,revenue,0.12767154268624245,share_count,-0.02376884815002728,net_margin,0.01770928799839314,yes,positive
2001_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.008333814382404992,0.18161338253933068,-0.008333814382404992,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.1771866188185085,0.1668807779489357,-5.551115123125783e-17,revenue,positive,0.1854858987065493,revenue,0.1854858987065493,net_margin,-0.01030584086957276,share_count,-0.00829927988804079,yes,positive
2001_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,0.0032345565133198306,-0.35202915634748344,-0.0032345565133198306,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612086,-0.4339095780055395,-1.6653345369377348e-16,net_margin,negative,0.6360759476416602,net_margin,-0.6360759476416602,revenue,0.20539570622458758,share_count,-0.003229336588466706,yes,negative
2001_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,0.0033097242051043363,1.4194130387561446,-0.0033097242051043363,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576037,0.8835249647810293,-3.3306690738754696e-16,net_margin,positive,0.6763933805152692,net_margin,0.6763933805152692,revenue,0.2104358433889969,share_count,-0.003304259123236539,yes,positive
2001_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,-0.006723094735098467,0.12491716726666091,0.006723094735098467,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.1748001414712635,0.11770940384932707,9.71445146547012e-17,revenue,positive,0.16805434492660015,revenue,0.16805434492660015,net_margin,-0.057090737621936505,share_count,0.006745796544663331,yes,positive
2001_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,-0.016503675794298567,0.19222952837170282,0.016503675794298567,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.13682625654787892,0.17582510746518046,-5.551115123125783e-17,revenue,positive,0.12018487792544265,revenue,0.12018487792544265,net_margin,0.03899885091730162,share_count,0.01664137862243626,no,positive
2001_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,-0.013615170566254386,0.9141893582225031,0.013615170566254386,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895,-1.1102230246251565e-16,revenue,positive,0.34465351017104895,revenue,0.34465351017104895,net_margin,0.29093200422587834,share_count,0.013708706980862195,no,positive
2001_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.029141603906009395,-0.18756146392509443,0.029141603906009395,0.09331560690852661,-0.3306052768464057,0.029574654390378728,0.12289026129890535,-0.20771501554750033,5.551115123125783e-17,net_margin,negative,0.3306052768464057,net_margin,-0.3306052768464057,revenue,0.09331560690852661,share_count,0.029574654390378728,yes,negative
2001_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,-0.03322983880007635,0.27278534768192,0.03322983880007635,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.11705758210288497,0.24120768609736518,8.326672684688674e-17,net_margin,positive,0.12415010399448012,net_margin,0.12415010399448012,revenue,0.0832630880066023,share_count,0.033794494096282664,no,positive
2001_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,-0.02153876387933573,0.386569374117268,0.02153876387933573,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.15162837790687844,0.3268326202473301,0.0,net_margin,positive,0.17520424234045173,net_margin,0.17520424234045173,revenue,0.1298542693610936,share_count,0.021774108545784845,no,positive
2001_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,-0.01745365442165936,0.34359283723048173,0.01745365442165936,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.1581527147767539,0.29534724771356924,2.7755575615628914e-16,revenue,positive,0.14054494949761556,revenue,0.14054494949761556,net_margin,0.13719453293681502,share_count,0.017607765279138352,no,positive
