period,sheet_delta_rev_per_share,phase1_delta_rev_per_share,match_rev_per_share,sheet_delta_net_margin,phase1_delta_net_margin,match_net_margin,sheet_delta_eps,phase1_delta_eps_sheet_logic,match_eps,phase1_actual_eps_cagr,phase1_additive_gap
2015-2016,0.19385386793781278,0.19385386793781278,yes,-0.01025291765367009,-0.01025291765367009,yes,0.1836009502841427,0.1836009502841427,yes,0.18161338253933068,-0.0019875677448120133
2015-2017,0.20885846170257283,0.20885846170257283,yes,-0.2761643348919125,-0.2761643348919125,yes,-0.06730587318933967,-0.06730587318933967,yes,-0.12498513135197875,-0.05767925816263908
2015-2018,0.2159125411651759,0.2159125411651759,yes,0.010054069926912934,0.010054069926912934,yes,0.22596661109208882,0.22596661109208882,yes,0.2281374108790608,0.0021707997869719886
2015-2019,0.20963804506423944,0.20963804506423944,yes,-0.006746923022990181,-0.006746923022990181,yes,0.20289112204124926,0.20289112204124926,yes,0.20147671028851066,-0.001414411752738598
2015-2020,0.19676513282879937,0.19676513282879937,yes,0.002386784906774242,0.002386784906774242,yes,0.1991519177355736,0.1991519177355736,yes,0.19962155378478874,0.00046963604921512747
