,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2030,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(+) Other Bets Capex*,,,,,,,,,,1225.9,884.35,649.75,-369.15,-868.25,1159.2,966,1023.5,1955,3105,3392.5,3680,4830,5117.5,5405,5405,5405,5405,5405,5405,5405,,,,,,
,,,,,,,,(-) Stock-based compensation,,,,-1164.054,-1376,-1974,-2661,-3127,-4175,-5203,-6703,-7679,-9353,-10794,-12859,-15376,-19362,-22460,-22785,-24953,-27780.7231408855,-30178.1413166897,-32452.6812574949,-35909.8403131577,-39368.8494728617,-43029.1292282223,-46668.93314469,-50241.5177173762,-53907.9036343431,-57619.8835175213,,,,,,
,,,,,,,,(+) Other Bets SBC*,,,,,,,,,,708.4,903.9,587.65,687.7,700.35,878.1584,645.82045,715.5244915,860.93090435,742.459759875,585.807088910125,789.2282468,1250.0679906,1635.71736904,2084.374355011,2727.60449788803,3104.13239229212,3494.82486564936,3839.4541272729,4046.63161738398,4128.01583669238,,,,,,
,,,,,,,,Unlevered free cash flow,,,,7602.80921824829,5383.93265322172,8241.27330567748,10536.1625836118,9369.90325122118,7696.24148549034,16299.8740927014,22602.4,32473.6,17092.9,20768.95,29050.95,49430.45,45602.57,47343.75,44412.35,30803.125,-26872.2932571758,-35109.7807256289,-32158.1104395343,-23862.4526956811,-2322.85746918229,23225.1941250863,59366.7846433208,93913.8208792738,130831.515434396,180760.675417923,214919.378802248,,,,,
,,,,,,,,% of Revenue,,,,0.434914382884496,0.24467972428748,0.283263673117395,0.268649445003997,0.216590075384785,0.146581115807834,0.268770802570679,0.307603532982213,0.364123207337721,0.1552587357961,0.157617555096837,0.193997622688632,0.233084438702133,0.194981935257674,0.18457026681429,0.150490142925881,0.0898285993409349,-0.0653498483739598,-0.0731550600825057,-0.0580078156429548,-0.0376158305671403,-0.00320005003130609,0.0282064562235411,0.0639954622043059,0.0904338264097175,0.112743830299621,0.140199755228383,0.16183842822258,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Adj. EBITDA Margin,,,,0.629280099956736,0.597800399927286,0.535058775005156,0.468624901195849,0.519382353621044,0.488524902390249,0.488507073838341,0.497597953156684,0.487492010809235,0.417029238916189,0.431106186631049,0.4526240575897,0.502336481650013,0.47088904186317,0.469583794657477,0.509918066671636,0.510711265346592,0.543007644739501,0.581743226149131,0.605727207173029,0.627637057746941,0.647444839371786,0.658282792099804,0.671438025215298,0.675844896541364,0.680026648558107,0.682099145404486,0.682099145404486,,,,,
,,,,,,,,UFCF / Adj. EBITDA,,,,0.691130043544039,0.409300034455049,0.529406649044612,0.573271809326501,,,0.488975441324785,0.563564440865054,0.654743338619223,0.310511266612895,0.322669075802324,0.401549659530474,0.441181289393739,0.397312643322059,0.380231170461559,0.287934478182579,0.168957075396006,-0.117418743137546,-0.123591514333449,-0.0948012876492422,-0.05964518901508,-0.00494429921003421,0.0429916758084465,0.0958434990448419,0.134782174199282,0.167179230340638,0.20726525581059,0.23726525581059,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NPV Calculations,,,,,,,,,,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,,,,,,
