,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,,,,,,,,2011-FY,2012-FY,2013-FY,2014-FY,2015-FY,2016-FY,2017-FY,2018-FY,2019-FY,2020-FY,2021-FY,2022-FY,2023-FY,2024-FY,2025-FY,2026-FY,2027-FY,2028-FY,2029-FY,2030-FY,2031-FY,2032-FY,2033-FY,2034-FY,2035-FY
,,,,,,,,Period-End Date,,,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,2026-09-30 00:00:00,2026-12-31 00:00:00,2027-03-31 00:00:00,2027-06-30 00:00:00,2027-09-30 00:00:00,2027-12-31 00:00:00,2028-03-31 00:00:00,2028-06-30 00:00:00,2028-09-30 00:00:00,2028-12-31 00:00:00,,,,,,,,1900-12-31 00:00:00,1901-12-31 00:00:00,1902-12-31 00:00:00,1903-12-31 00:00:00,1904-12-31 00:00:00,1905-12-31 00:00:00,1906-12-31 00:00:00,1907-12-31 00:00:00,1908-12-31 00:00:00,1909-12-31 00:00:00,1910-12-31 00:00:00,1911-12-31 00:00:00,1912-12-31 00:00:00,1913-12-31 00:00:00,1914-12-31 00:00:00,1915-12-31 00:00:00,1916-12-31 00:00:00,1917-12-31 00:00:00,1918-12-31 00:00:00,1919-12-31 00:00:00,1920-12-31 00:00:00,1921-12-31 00:00:00,1922-12-31 00:00:00,1923-12-31 00:00:00,1924-12-31 00:00:00
,,,,,,,,Morgan Stanley | Google Display Network estimates,,,2013-12-31 00:00:00,,,,2014-12-31 00:00:00,,,,2015-12-31 00:00:00,,,,2016-12-31 00:00:00,,,,2017-12-31 00:00:00,,,,2018-12-31 00:00:00,,,,2019-12-31 00:00:00,,,,2020-12-31 00:00:00,,,,2021-12-31 00:00:00,,,,2022-12-31 00:00:00,,,,2023-12-31 00:00:00,,,,2024-12-31 00:00:00,,,,2025-12-31 00:00:00,,,,2026-12-31 00:00:00,,,,2027-12-31 00:00:00,,,,2028-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(In millions),,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00
,,,,,,,,Google Display Network (GDN) revenue,,,1185.41637228235,1060.71090374118,1008.33760952941,1086.93572084706,1375.27038926786,1574.44700367857,1619.92477805095,1562.59744215385,1541.30869830409,1695.52915747024,1622.12409005952,1910.71317151786,2019.83627216071,2143.49030519643,2179.73050261048,2387.14514980964,2340.93217062937,2137.58648997794,2475.05070151851,2629.51009256211,2318.25608914822,2246.83767573198,2672.08747310675,2838.85914919346,2491.37729651206,2413.60328016973,2874.62247717054,3052.9014902832,2603.53812259917,2204.60905966303,3019.61608725989,3299.7902023618,3053.61246586417,3051.38790775895,4278.39068457562,3912.89569888145,3273.17322861636,3270.1478613167,3809.22765127922,3432.08800988066,3084.25582431798,3060.70529757956,3468.78124607544,3372.9817364582,3062.51451852903,3013.30590042403,3410.62932383713,3318.95646967247,2989.0446464763,2916.06742743883,3293.14380360103,3237.51449311311,2918.00456422708,2847.45771375812,3238.80383461979,3186.52958124282,2873.78792938854,2804.83366477476,3188.54206875968,3139.44929099517,,,,,,,,,,,,,3299.14647,4341.4006064,6132.23961315122,6769.67511735171,8730.20222977726,9583.07945468794,10076.0403871804,10832.5045441355,11127.5534718839,14296.2867570802,13784.6367510929,12986.7241044312,12805.4062124626,12435.7703706293,12190.7956938478,12006.6129539182,11871.6575067801,11776.920790521,11715.341041915,11681.3092173192,11670.3259034929,11678.7501636181,11703.6130463413,11742.4772504744
,,,,,,,,% change Y/Y,,,NA,NA,NA,NA,0.160158085736548,0.484331874147257,0.606530156905446,0.437617158203339,0.120731392409771,0.0769045598287956,0.00135766304607188,0.222780173557802,0.310468353538228,0.264201382649507,0.343750774658979,0.249347722826086,0.158971250736658,-0.00275429993976328,0.135484730132628,0.101529202265642,-0.00968677425414422,0.0511095977946432,0.0796091859723698,0.079615232215124,0.0746773439630843,0.0742223642762354,0.0757965471198883,0.0753973092150588,0.0450196067228117,-0.086590129464856,0.0504391833156668,0.0808701862357513,0.172870271941968,0.384094787411128,0.41686577397261,0.185801356728929,0.0719019735498934,0.0716919513908734,-0.109658763746803,-0.12287771665834,-0.0577168976718768,-0.0640468176423102,-0.0893741294483803,-0.0172216660098141,-0.00704912530845758,-0.0154864296124873,-0.0167643671113907,-0.016017064724004,-0.0239900485722491,-0.0322696985299482,-0.0344468744858844,-0.0245384286608008,-0.0237668187167989,-0.0235281643473395,-0.0165009402024349,-0.0157481648279104,-0.0151530382716348,-0.014969159604167,-0.0155186199679206,-0.0147747852474941,,,,,,,,,,,,,NA,0.315916297102141,0.412502592852456,0.103948238231501,0.289604313122859,0.0976927226269351,0.0514407644039006,0.0750755383947805,0.0272373693956212,0.284764597465451,-0.0357890139363536,-0.0578841982614076,-0.0139617882470202,-0.0288656084547821,-0.0196991959066758,-0.0151083444063137,-0.0112400930767108,-0.00798007491413533,-0.00522884968841864,-0.00290489405933791,-0.000940246818397106,0.000721853030920094,0.00212889927217108,0.00332070139188234
,,,,,,,,% change Q/Q,,,NA,-0.105199718391837,-0.0493756536555263,0.0779482095826305,0.265272971428427,0.144827239766827,0.0288849191278726,-0.0353888876038286,-0.0136239464339636,0.100058125498048,-0.0432933088099976,0.177908141076768,0.0571111887799309,0.0612198299139539,0.0169070964893994,0.0951560970270244,-0.0193590989571609,-0.0868652595759571,0.157871605721111,0.0624065563379508,-0.118369579297038,-0.0308069560349925,0.18926591892591,0.0624125062391063,-0.122401934868845,-0.0312172774678544,0.191008688457035,0.0620182352738472,-0.147192226514436,-0.15322574287404,0.369683243396191,0.0927846809016562,-0.0746040570462421,-0.000728500466281257,0.402113010180286,-0.085428146385006,-0.163490805657805,-0.000924291838027891,0.164848750828491,-0.0990068528122525,-0.101347105482522,-0.00763572416812519,0.133327422544926,-0.0276176278701994,-0.0920453302706535,-0.0160680440230653,0.131856318788341,-0.0268785744390186,-0.0994022748447587,-0.0244148976240618,0.129309896134119,-0.0168924631918876,-0.098689883725833,-0.0241764016868971,0.137437026358914,-0.0161399874911271,-0.098144907769003,-0.0239942077522917,0.136802552252501,-0.0153966222511268,,,,,,,,,,,,,,,6132.23961315122,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6132.23961315122,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Google Websites Display Revenue,,,177.812455842353,159.106635561177,151.250641429412,163.040358127059,220.043262282857,251.911520588571,252.708265375948,242.202603533846,223.489761254094,271.284665195238,259.539854409524,305.714107442857,323.173803545714,342.958448831429,285.493839850476,336.285518187143,349.027707829372,370.395124737943,308.333347038515,363.188359642115,376.949924455721,400.026734716978,333.000014801596,392.243428413484,395.797420678508,420.028071452827,349.650015541676,411.855599834158,415.587291712433,441.029475025469,367.132516318759,432.448379825866,436.366656298055,463.080948776742,385.489142134697,454.070798817159,458.184989112957,486.234996215579,404.763599241432,476.774338758017,481.094238568605,486.234996215579,404.763599241432,476.774338758017,485.905180954291,491.097346177735,408.811235233846,481.542082145597,490.764232763834,496.008319639512,412.899347586185,486.357502967053,495.671875091473,500.968402835908,417.028341062047,491.221077996724,500.628593842387,505.978086864267,421.198624472667,496.133288776691,,,,,,,,,,,,,395.8975764,651.21009096,966.865651781223,1060.02838830171,1287.91161041476,1390.94453924794,1502.22010238778,1577.33110750717,1656.19766288253,1739.00754602665,1825.95792332799,1848.86717278363,1867.35584451147,1886.02940295658,1904.88969698615,1923.93859395601,1943.17797989557,1962.60975969453,1982.23585729147,2002.05821586439,2022.07879802303,2042.29958600326,2062.7225818633,2083.34980768193
