,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOGL Model,1Q13,2Q13,3Q13,4Q13,1Q14,2Q14,3Q14,4Q14,1Q15,2Q15,3Q15,4Q15,1Q16,2Q16,3Q16,4Q16,1Q17,2Q17,3Q17,4Q17,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25E,1Q26E,2Q26E,3Q26E,4Q26E,1Q27E,2Q27E,3Q27E,4Q27E,1Q28E,2Q28E,3Q28E,4Q28E,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024E,2025E,2026E,2027E,2028E,2029E,2030E,2031E,2032E,2033E,2034E,2035E
,Total US Revenue,6042.75,6102.75,6286.75,7154.75,6895,6958,7324,8305,7721,8048,8748,10293,9381,10035,10649,12716,11769,12322,12930,15428,14144,14933,15523,18669,16532,17863,18711,21737,18870,17999,21442,26703,25032,28208,29824,34790,31733,32727,33372,36982,32864,35073,36354,41995,38737,41196,43139,47375,43964,46063,48758,55444,52317.16,56196.86,58997.18,65978.36,62780.592,66874.2634,71976.5596,80493.5992,,,,,,25587,29482,34810,42781,52449,63269,74843,85014,117854,134814,146286,170447,194229,233489.56,282125.0142,337952.839206217,401484.296776563,473185.243259051,553465.938100266,642672.013688815,741076.869472937,848875.688880852,966181.208472891
,US YouTube,161.267740561086,182.394734412468,225.430043376885,271.37277995871,236.081569033035,259.795451423888,327.361005231418,394.90494476466,300.52568959144,331.231438047,419.656257015969,502.101003495625,380.925558818436,463.398417486416,591.629198631656,740.784748861308,567.887424895224,611.124620974059,786.745727382442,967.529851854777,756.74725,821.844625,1063.908125,1261.75,1058.75,1261.05,1331.4,1650.95,1413.3,1334.2,1762.95,2409.75,2101.75,2450.7,2521.75,3021.55,2472.84,2789.2,2686.98,3025.94,2610.27,2989.35,3101.28,3588,3155.1,3486.8575,3613.005,4398.66,3570.8,3937.992,4207.01,4780.86,3940.25747809156,4304.59366355416,4457.82818208636,5301.11477204938,4159.79352552613,4596.76148705665,5141.11075106046,5857.09578885814,,,,,,840.46529830915,1218.142970453,1553.51438815004,2176.73792379782,2933.2876251065,3904.25,5302.15,6920.2,10095.75,10974.96,12288.9,14653.6225,16496.662,18003.7940957815,19754.7615525014,21466.613405231,23277.372971836,25146.124756249,27077.872741892,29001.8635931197,30991.4146695863,33055.5369492649,35204.3779501272
,US Other & Other Bets,839.2,836.8,984,1317.6,924.95,947.05,1106.95,1255.8,1050,1022.4,1287.92,1643.23,1429.443,1526.1575,1762.1,2418.9,2030.61333420652,2169.43310154347,2385.12540369261,3403.60593403868,2959.52162952325,3015.00560928945,3035.7727611873,4312.1,3593.6,3932.04,4115,5071.5,4555.14,5132.98,5642,6634.62,6765.57,7209.09,7513.38,8746.29,8366.08,8334.08,8942.08,10455.68,9547.65,10368.54,10739.61,13005.09,11755,12715.24,14110.11,14752.62,14546.07,15372,17022.6,20231.68,20435.80518,22657.62366,25397.41809,28186.269815,27138.44346,29414.61663,34291.865535,38532.82761,,,,,,3977.6,4234.75,5003.55,7136.6005,9988.77777348128,13322.4,16712.14,21964.74,30234.33,36097.92,43660.89,53332.97,67172.35,96677.116745,129377.753235,166046.479456562,207676.40220342,253750.710043459,302478.551911401,355795.050423203,413379.809820622,474537.557610448,538917.280390807
,US Display Revenue,829.791460597647,742.497632618823,705.836326670588,760.855004592941,962.6892724875,1102.112902575,1133.94734463566,1093.81820950769,1078.91608881287,1186.87041022917,1135.48686304167,1337.4992200625,1413.8853905125,1500.4432136375,1525.81135182733,1671.00160486675,1638.65251944056,1496.31054298456,1732.53549106296,1840.65706479348,1622.77926240375,1572.78637301238,1870.46123117472,1987.20140443542,1743.96410755844,1689.52229611881,2012.23573401938,2137.03104319824,1822.47668581942,1543.22634176412,2113.73126108192,2309.85314165326,2137.52872610492,2135.97153543126,2994.87347920294,2739.02698921701,2291.22126003145,2289.10350292169,2666.45935589546,2402.46160691646,2158.97907702259,2142.49370830569,2428.14687225281,2361.08721552074,2122.32256134062,2088.22098899385,2363.56612141913,2300.03683348302,2048.9901051595,1998.96422150932,2257.45007736851,2219.31618502904,1955.06305803214,1907.79666821794,2169.99856919526,2134.97481943269,1905.3213971846,1859.60471974567,2114.00339158767,2081.45487992979,,,,,,3038.98042448,4292.56772920586,4738.7725821462,6111.14156084408,6708.15561828156,7053.22827102628,7582.75318089487,7789.28743031872,10007.4007299561,9649.24572576506,9090.70687310183,8874.14650523662,8524.72058906636,8167.83311487803,7960.38438844774,7781.87149569434,7631.44467225762,7503.67593734654,7394.26873456305,7299.7888526348,7217.46760111602,7145.0557647914,7080.71378203606
,Total US Search Rev,4212.49079884127,4341.05763296871,4371.48362995253,4804.92221544835,4771.27915847946,4649.04164600111,4755.74165013292,5560.47684572765,5291.55822159569,5507.49815172383,5904.93687994236,6810.16977644188,6156.74605066906,6545.00086887608,6769.45944954101,7885.31364627194,7531.8467214577,8045.13173449791,8025.59337786199,9216.20714931306,8804.951858073,9523.36339269816,9552.85788263798,11107.9485955646,10135.6858924416,10980.3877038812,11252.3642659806,12877.5189568018,11079.0833141806,9988.59365823588,11923.3187389181,15348.7768583467,14027.1512738951,16412.2384645687,16793.9965207971,20283.133010783,18602.8587399686,19314.6164970783,19076.4806441045,21097.9183930835,18547.1009229774,19572.6162916943,20084.9631277472,23040.8227844793,21704.5774386594,22905.6815110062,23052.3188785809,25923.683166517,23798.1398948405,24754.0437784907,25270.9399226315,28212.143814971,25986.0342838763,27326.8460082279,26971.9351587184,30356.0005935179,29577.0336172893,31003.2805631977,30429.5799223519,34022.2209212121,,,,,,17729.9542772109,19736.5393003411,23514.1630297038,27356.5200153581,32818.7789831307,38989.1217289737,45245.9568191051,48339.7725696813,67516.5192700439,78091.874274235,81245.5031268982,93586.2609947634,102035.267410934,110640.816044341,125032.115024051,142657.874848729,162899.07692905,186784.732521996,216515.244712411,250575.310819858,289488.177381613,334137.538556348,384978.836349921
,% change Y/Y,,,,,0.132650345442156,0.0709467689839869,0.0879010543577319,0.157245964950298,0.109043936821763,0.184652358720238,0.241643746517922,0.224745640596349,0.16350341295356,0.188380039097701,0.14640674187987,0.157873284385547,0.223348609715549,0.229202546443578,0.185558970798791,0.168781301891567,0.169029613014868,0.183742380732129,0.190299262978964,0.205262470298589,0.151134731435068,0.152994719523165,0.177905544521021,0.159306675396731,0.0930768210213122,-0.0903241372155509,0.0596278663823535,0.191904815658585,0.266093130281017,0.643098020213925,0.408500174199063,0.321482043681736,0.326203615882363,0.176842302089098,0.135910717885462,0.0401705881368226,-0.00299727142857564,0.0133577487627066,0.0528652272113048,0.092089861909441,0.170240973443471,0.170292268015607,0.147740164219386,0.125119680360532,0.096457185683428,0.0806944891203694,0.0962428576377215,0.0882768329544224,0.0919355209568349,0.103934623884473,0.0673103272491877,0.0759905660699671,0.13818958653653,0.134535634074377,0.128194167132863,0.120774155225079,,,,,,,0.11317485605191,0.191402538807669,0.163406070664754,0.199669364550243,0.188012562838328,0.160476430672759,0.0683777284884333,0.396707424982596,0.156633593060287,0.0403835723239094,0.15189465746295,0.0902804143082818,0.0843389629072973,0.13007224182026,0.140969860593718,0.141886328404822,0.146628550899341,0.159169926733241,0.15731024460974,0.155294096750539,0.15423552553539,0.152156797506901
,Accel/(Decel),,,,,,-617.03576458169,169.54285373745,693.449105925663,-482.020281285351,756.084218984745,569.913877976849,-168.981059215731,-612.422276427889,248.766261441404,-419.732972178306,114.66542505677,654.753253300022,58.5393672802814,-436.435756447868,-167.776689072234,2.48311123300926,147.127677172612,65.5688224683471,149.632073196249,-541.277388635213,18.5998808809695,249.10824997856,-185.988691242893,-662.298543754192,-1834.00958236863,1499.52003597904,1322.76949276232,741.883146224322,3770.04889932907,-2345.97846014862,-870.181305173268,47.2157220062686,-1493.61313793265,-409.315842036355,-957.401297486396,-431.678595653983,163.550201912822,395.074784485983,392.246346981362,781.511115340299,0.512945721360403,-225.521037962211,-226.204838588535,-286.624946771044,-157.626965630586,155.483685173521,-79.660246832991,36.5868800241254,119.991029276383,-366.242966352854,86.802388207794,621.99020466563,-36.539524621535,-63.4146694151383,-74.2001190778385,,,,,,,,782.276827557586,-279.964681429146,362.632938854888,-116.56801711915,-275.361321655692,-920.987021843258,3283.29696494162,-2400.73831922308,-1162.50020736378,1115.1108513904,-616.14243154668,-59.4145140098457,457.332789129628,108.976187734575,9.16467811104216,47.4222249451883,125.413758339006,-18.5968212350085,-20.1614785920179,-10.5857121514852,-20.7872802848885
,$ change Y/Y,,,,,558.788359638197,307.984013032404,384.258020180392,755.5546302793,520.27906311623,858.456505722721,1149.19522980944,1249.69293071423,865.187829073368,1037.50271715225,864.522569598647,1075.14386983007,1375.10067078864,1500.13086562183,1256.13392832098,1330.89350304112,1273.1051366153,1478.23165820025,1527.26450477599,1891.74144625152,1330.73403436856,1457.02431118303,1699.50638334264,1769.57036123718,943.397421739022,-991.794045645313,670.954472937461,2471.25790154498,2948.0679597145,6423.64480633286,4870.67778187899,4934.35615243625,4575.70746607347,2902.37803250957,2282.48412330748,814.785382300554,-55.7578169911358,257.999794616,1008.48248364265,1942.90439139572,3157.47651568197,3333.06521931184,2967.35575083368,2882.86038203772,2093.56245618111,1848.36226748453,2218.62104405062,2288.46064845399,2187.8943890358,2572.80222973721,1700.99523608689,2143.85677854697,3590.99933341296,3676.43455496979,3457.64476363348,3666.22032769413,,,,,,,2006.58502313029,3777.62372936263,3842.35698565433,5462.25896777256,6170.34274584306,6256.83509013142,3093.81575057615,19176.7467003626,10575.3550041911,3153.62885266321,12340.7578678652,8449.00641617023,8605.54863340689,14391.2989797104,17625.7598246781,20241.2020803207,23885.6555929467,29730.5121904142,34060.0661074471,38912.8665617552,44649.3611747353,50841.2977935727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US Advertising Revenue,5203.55,5265.95,5302.75,5837.15,5970.05,6010.95,6217.05,7049.2,6671,7025.6,7460.08,8649.77,7951.557,8508.8425,8886.9,10297.1,9738.38666579348,10152.5668984565,10544.8745963074,12024.3940659613,11184.4783704768,11917.9943907105,12487.2272388127,14356.9,12938.4,13930.96,14596,16665.5,14314.86,12866.02,15800,20068.38,18266.43,20998.91,22310.62,26043.71,23366.92,24392.92,24429.92,26526.32,23316.35,24704.46,25614.39,28989.91,26982,28480.76,29028.89,32622.38,29417.93,30691,31735.4,35212.32,31881.35482,33539.23634,33599.76191,37792.090185,35642.14854,37459.64677,37684.694065,41960.77159,,,,,,21609.4,25247.25,29806.45,35644.3995,42460.2222265187,49946.6,58130.86,63049.26,87619.67,98716.08,102625.11,117114.03,127056.65,136812.443255,152747.260965,171906.359749654,193807.894573143,219434.533215592,250987.386188866,286876.963265612,327697.059652315,374338.131270405,427263.928082084
,YoY % Growth,,,,,0.147303283335415,0.14147494754033,0.172419970769884,0.207644141404624,0.117411076959154,0.168800272835409,0.19993887776357,0.227056971003802,0.191958776795083,0.21111969084491,0.191260683531544,0.19044783849744,0.224714438416713,0.193178378663905,0.186563885754019,0.167745682372835,0.148493970748022,0.173889766983206,0.184198742693961,0.193981162064668,0.156817472520937,0.168901372437166,0.168874380265367,0.160800729962596,0.106385642737897,-0.0764441215824321,0.0824883529734173,0.204187093096517,0.276046709503272,0.632121666218457,0.412064556962025,0.297748497885729,0.279227522838343,0.161627913067869,0.0949906367460878,0.0185307700016626,-0.00216417054536922,0.0127717386848316,0.0484843994577142,0.0928734177978703,0.157213714839587,0.152859038408449,0.13330397483602,0.125301182376903,0.0902798161737455,0.0776046706618783,0.093235049635036,0.0793915097549596,0.0837388905337662,0.0928036342901828,0.0587470745602703,0.073263283560981,0.117962167581434,0.116890271151594,0.121576223246517,0.110305658792447,,,,,,,0.168345719918184,0.180582043588906,0.195861952698158,0.191217212861693,0.176315086942848,0.16386020269648,0.0846091043552426,0.389701798244738,0.12664291020498,0.0395987158323143,0.141182991180229,0.0848969162789461,0.0767830196609149,0.116471991369232,0.125430064432019,0.127403866008122,0.132227011179759,0.143791647152791,0.142993548885919,0.14229130119768,0.142329844727857,0.141385000325944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported US Revenue,6042.75,6102.75,6286.75,7154.75,6895,6958,7324,8305,7721,8048,8748,10293,9381,10035,10649,12716,11769,12322,12930,15428,14144,14933,15523,18669,16532,17863,18711,21737,18870,17999,21442,26703,25032,28208,29824,34790,31733,32727,33372,36982,32864,35073,36354,41995,38737,41196,43139,47375,43964,46063,48758,55444,52317.16,56196.86,58997.18,65978.36,62780.592,66874.2634,71976.5596,80493.5992,,,,,,25587,29482,34810,42781,52449,63269,74843,85014,117854,134814,146286,170447,194229,233489.56,282125.0142,337952.839206217,401484.296776563,473185.243259051,553465.938100266,642672.013688815,741076.869472937,848875.688880852,966181.208472891
,YoY % Growth,,,,,0.141036779611932,0.140141739379788,0.164989859625403,0.16076732240819,0.119796954314721,0.156654210980167,0.194429273620972,0.239373871161951,0.214998057246471,0.246893638170974,0.217306812985825,0.235402700864665,0.254557083466581,0.227902341803687,0.21419851629261,0.213274614658698,0.201801342509984,0.211897419250122,0.200541376643465,0.210072595281307,0.168834841628959,0.196209736824483,0.205372672808091,0.164336600782045,0.141422695378659,0.00761350277109107,0.145956923734702,0.228458388922114,0.326550079491256,0.567198177676538,0.390915026583341,0.302849867056136,0.267697347395334,0.160202779353375,0.118964592274678,0.0630066110951424,0.0356411306841458,0.0716839306994226,0.0893563466378999,0.135552430912336,0.178706183057449,0.17457873577966,0.18663695879408,0.12811048934397,0.134935591295144,0.118142538110496,0.13025336702288,0.170321899736148,0.19,0.22,0.21,0.19,0.2,0.19,0.22,0.22,,,,,,,0.152225739633408,0.180720439590258,0.228985923585177,0.225988172319488,0.206295639573681,0.182933190029873,0.1358978127547,0.386289317053662,0.143906867819505,0.0850950198050648,0.165162763353978,0.139527243072627,0.202135417471129,0.208298196287663,0.19788328647328,0.187989122149616,0.178589666042135,0.169660182740028,0.161177173603027,0.153118314922875,0.145462399176731,0.138189279217895
,Accel/(Decel),,,,,,-8.95040232143707,248.481202456148,-42.2253721721222,-409.703680934697,368.572566654459,377.750626408053,449.445975409786,-243.758139154799,318.955809245034,-295.868251851488,180.9588787884,191.54382601916,-266.547416628942,-137.038255110775,-9.23901633911983,-114.732721487139,100.960767401379,-113.56042606657,95.3121863784201,-412.377536523474,273.748951955233,91.6293598360851,-410.360720260461,-229.139054033856,-1338.09192607568,1383.43420963611,825.014651874128,980.916905691416,2406.48098185282,-1762.83151093196,-880.651595272053,-351.52519660802,-1074.94568041959,-412.381870786969,-559.579811795357,-273.654804109966,360.428000152768,176.724159384774,461.960842744358,431.537521451131,-41.2744727778924,120.582230144208,-585.264694501109,68.251019511747,-167.930531846481,121.108289123835,400.685327132682,196.781002638522,300,-100,-200,100,-100,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gap,,,,,83.8643416977569,691.94970395801,770.888052676708,35.2135745789228,107.530174929578,-279.981477400708,-472.144728969504,146.282305656014,514.946442929103,585.135990732733,709.000711059551,775.29416479118,312.084737510319,-13.0020463989045,286.395454938189,444.933127671303,327.717294951155,281.550385179923,102.421136645006,48.1012498271771,177.001101938916,432.150173013179,274.671282870704,50.2992538531366,483.458743573473,979.37639986642,863.290573523481,365.535732635292,604.569492102385,-758.998425373874,-175.851476157216,-186.321766256001,-585.06268487029,-166.395227357228,-169.461256107841,228.360229583198,386.384021127214,583.26181936716,364.911194265951,434.625690028947,84.652096139779,42.8646776405262,388.967945746945,29.9080898343718,384.784056117162,374.480489901268,340.105093851582,820.450667817254,980.644790431651,1160.65376115527,1426.89672750812,1140.09433930033,618.104134634698,554.643659256233,918.058328671372,992.25844774921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
