,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2035,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(-) Capex,,,,-809.888,-4018,-3438,-3273,-7358,-10959,-9915,-9972,-13130,-25100,-23548,-22281,-24640,-31485,-32251,-52535,-91447,-184955.84497189,-249859.017304858,-293609.783685794,-335059.999082199,-371068.041350865,-402207.217962214,-426579.617060393,-447257.384131901,-463244.292963217,-473736.595472165,,,,,,,,,,,,
,,,,,,,,(+) Other Bets Capex*,,,,,,,,,,1066,769,565,-321,-755,1008,840,890,1700,2700,2950,3200,4200,4450,4700,4700,4700,4700,4700,4700,4700,,,,,,,,,,,,
,,,,,,,,(-) Stock-based compensation,,,,-1164.054,-1376,-1974,-2661,-3127,-4175,-5203,-6703,-7679,-9353,-10794,-12859,-15376,-19362,-22460,-22785,-24953,-27780.7231408855,-30178.1413166897,-32452.6812574949,-35909.8403131577,-39368.8494728617,-43029.1292282223,-46668.93314469,-50241.5177173762,-53907.9036343431,-57619.8835175213,,,,,,,,,,,,
,,,,,,,,(+) Other Bets SBC*,,,,,,,,,,616,786,511,598,609,763.616,561.583,622.19521,748.635569,645.6171825,509.3974686175,686.285432,1087.015644,1422.3629296,1812.49943914,2371.8299981635,2699.24555851488,3038.97814404292,3338.655762846,3518.81010207302,3589.57898842816,,,,,,,,,,,,
,,,,,,,,Unlevered free cash flow,,,,7616.593,5486,9314,11309,10208,8369,15668,21907,31513.75,15859.75,19804.75,28189.5,48501.5,44769.8,46446.75,43420.25,29347,-13956.3157530265,-23863.8970706378,-13943.228982689,6180.80656208639,38327.8187899475,76051.0799745401,121247.163111486,170152.723127499,219391.081009406,281131.776351102,337177.425710512,,,,,,,,,,,
,,,,,,,,% of Revenue,,,,0.435702876290325,0.249318305762589,0.320134735684334,0.288355133991178,0.235963107648922,0.159394343395867,0.258351746199255,0.298139604512854,0.353360505926017,0.144057751174007,0.150300148746281,0.18824499662769,0.228704066091073,0.191421278342405,0.181073299858094,0.147128436760889,0.0855822227406608,-0.0333831347629818,-0.0480833947967564,-0.0239079103806325,0.00910244380451927,0.0489020011843986,0.0847932075172878,0.118933981928582,0.147776953418839,0.169756672336156,0.194908453826961,0.226956176036177,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Adj. EBITDA Margin,,,,0.629280099956736,0.597800399927286,0.535058775005156,0.468624901195849,0.519526463039608,0.491586492391429,0.545715804511778,0.545542115620141,0.550120623182197,0.491844599901368,0.483414563454835,0.481255761543208,0.52680044766655,0.490400470721137,0.486245502335468,0.523918570271237,0.531313555938468,0.583007644739501,0.601743226149131,0.620727207173029,0.642637057746941,0.662444839371786,0.673282792099804,0.681438025215298,0.685844896541364,0.690026648558107,0.692099145404486,0.712099145404486,,,,,,,,,,,
,,,,,,,,UFCF / Adj. EBITDA,,,,0.692383052189764,0.417059449597081,0.598316952527783,0.61532183470265,0.454314833770973,0.326276803118908,0.476941341207269,0.55259307839774,0.645786798909814,0.294484365715983,0.312476333228148,0.392877439130651,0.43568493486806,0.392127272646703,0.374620822826992,0.282400079947887,0.161801911003806,-0.0575856434300587,-0.0805891052597218,-0.0389136857086354,0.0143375074794331,0.0749297581718151,0.127997396751601,0.177663232089845,0.219771130827175,0.251487200344928,0.288714293509313,0.318714293509314,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
