window_label,from_year,to_year,period,Revenue_pct_change,Net Margin_pct_change,EPS_pct_change,FCF_pct_change,NetCash_pct_change,Shares_pct_change,Price_pct_change,Revenue_weight,Net Margin_weight,EPS_weight,FCF_weight,NetCash_weight,Shares_weight,Price_weight
2015_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.017051459148507142,0.1706062471131822,0.008582846553958955,0.15203085084005888,0.4727572928838491,0.17477243028348796,0.0069763410250110085,0.014273991300451885
2015_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.3557565153916764,0.13508535957427628,0.278827965711846,0.20856013938151427,0.047802529622584994,0.11703927024621702,0.001916317285348604,0.21076841817821285
2015_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,-0.010311495578024132,0.08349771112310089,0.3446530359526488,0.506019259504668,0.016217347218689383,0.04475669563540471,0.0011799132075743179,0.0036760373579137256
2015_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.2910457101118993,0.1674601385817218,0.05077918888430329,0.11430898020859413,0.32412438170918273,0.07084555999074577,0.006152157624374672,0.2663295930010775
2015_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.3102872141541846,0.10741855360404493,0.03345169554277616,0.161692699074221,0.32239504961848536,0.10016383190109393,0.013881966555450615,0.2609962037039279
2015_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.6517055948713533,0.13860367542380975,0.1137368616085769,0.30792167617866817,0.19001282223251445,0.025628410109162204,0.004585927526405458,0.21951062692086307
2015_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,-0.38671336245533894,0.07836893636308469,0.2255613499965978,0.15028391256875293,0.08372177089525008,0.12885959629063404,0.023349755124927853,0.30985467876075257
2015_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.5883012847341824,0.067929934627759,0.10341599258843605,0.21341450194370276,0.12365639941170359,0.0053262800713070055,0.02599747221561585,0.4602594191414758
2015_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,0.386569374117268,0.04703935534930581,-0.0459699543797748,-0.02153876387933573,0.3561646693466538,0.11677484573720297,0.16126330314595905,0.32555017230020045,0.03961428727722071,0.03871368910985733,0.018138913120220347,0.29994478930933915
2015_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,0.34359283723048173,0.006899015996921554,0.21365147121118322,-0.01745365442165936,0.6541779668914054,0.09838831068911653,0.095878382462435,0.22402476591946785,0.004498203327644638,0.13930214963802826,0.011379896268409882,0.4265282916948979
2010_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.1309902272335286,0.5753928925385814,0.28654824712015725,0.012259822862110248,0.08742857525621806,0.19520051275545758,0.07628351879782543,0.08733914148913845,0.38364939365803746,0.19105912270901135,0.008174368624284256,0.058293941966245426
2010_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.08580736736640682,0.19942482250381954,0.0681354945161603,0.015558625242196422,0.09518507166789525,0.33903752179504015,0.17486661874533718,0.08987197398914035,0.20887137096655475,0.07136300272149923,0.016295621296742883,0.09969389048568547
2010_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.16313392684073058,-0.1171886707627754,0.25960926851431165,0.019572380794751876,0.5843111356427808,0.08056079235010369,0.05427091724739762,0.12339255332983018,0.08864011053240527,0.19636534919768955,0.014804315005339382,0.4419659623372343
2010_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,0.11176768531511883,0.02401969105415036,0.12243904198528344,-0.001422558695518772,-0.05965609482294798,0.3287860882411918,0.11516021823350796,0.19463779222699135,0.041829081666790446,0.21322142215984327,0.0024773142883690773,0.10388808318330608
2010_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.129315822492738,0.38060505594695404,0.1734016742452238,0.02405357865114266,0.44559935202214884,0.10419084544675307,0.01367002512941129,0.09893926516304803,0.29120013179243487,0.13266925807805244,0.018403342687777283,0.340927131702523
2010_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.017051459148507142,0.1706062471131822,0.008582846553958955,0.15203085084005888,0.4727572928838491,0.17477243028348796,0.0069763410250110085,0.014273991300451885
2010_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.3557565153916764,0.13508535957427628,0.278827965711846,0.20856013938151427,0.047802529622584994,0.11703927024621702,0.001916317285348604,0.21076841817821285
2010_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,-0.010311495578024132,0.08349771112310089,0.3446530359526488,0.506019259504668,0.016217347218689383,0.04475669563540471,0.0011799132075743179,0.0036760373579137256
2010_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.2910457101118993,0.1674601385817218,0.05077918888430329,0.11430898020859413,0.32412438170918273,0.07084555999074577,0.006152157624374672,0.2663295930010775
2010_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.3102872141541846,0.10741855360404493,0.03345169554277616,0.161692699074221,0.32239504961848536,0.10016383190109393,0.013881966555450615,0.2609962037039279
2010_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.6517055948713533,0.13860367542380975,0.1137368616085769,0.30792167617866817,0.19001282223251445,0.025628410109162204,0.004585927526405458,0.21951062692086307
2010_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,-0.38671336245533894,0.07836893636308469,0.2255613499965978,0.15028391256875293,0.08372177089525008,0.12885959629063404,0.023349755124927853,0.30985467876075257
2010_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.5883012847341824,0.067929934627759,0.10341599258843605,0.21341450194370276,0.12365639941170359,0.0053262800713070055,0.02599747221561585,0.4602594191414758
2010_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,0.386569374117268,0.04703935534930581,-0.0459699543797748,-0.02153876387933573,0.3561646693466538,0.11677484573720297,0.16126330314595905,0.32555017230020045,0.03961428727722071,0.03871368910985733,0.018138913120220347,0.29994478930933915
2010_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,0.34359283723048173,0.006899015996921554,0.21365147121118322,-0.01745365442165936,0.6541779668914054,0.09838831068911653,0.095878382462435,0.22402476591946785,0.004498203327644638,0.13930214963802826,0.011379896268409882,0.4265282916948979
2001_2025,2001,2002,2001-2002,4.085367829125494,1.8055284021010038,11.077794642155741,5.548727050862499,7.170504044803982,0.18127061292671431,,0.13677530177333314,0.06044784763249844,0.370876936554376,0.18576756086171803,0.2400635378785238,0.006068815299550549,
2001_2025,2002,2003,2002-2003,2.33539776295312,-0.6821587973428676,-0.08860354165356255,0.8518637722649005,1.2827944332894834,0.1631895500673064,,0.43216031961928597,0.12623201433490416,0.01639589430452535,0.15763555396600762,0.23737834346266445,0.03019787431261245,
2001_2025,2003,2004,2003-2004,1.17555701689162,0.7364834684429487,2.554249965282207,2.0096824061030714,5.46730703904108,0.06290183059406629,,0.09791264564246374,0.061342022403865507,0.21274456971406033,0.16738730529886783,0.45537433662524796,0.005239120315494584,
2001_2025,2004,2005,2004-2005,0.9247823059096214,0.9075295641548091,2.4314020192192145,1.4636539224282692,2.7746223907832728,0.0699938778727256,1.151874835453751,0.09510445533150533,0.09333018629858668,0.25004497085648647,0.15052192088541738,0.28534169559666195,0.00719815851696889,0.11845861251437312
2001_2025,2005,2006,2005-2006,0.7275903469217535,0.21561030846512885,0.9801703374751125,0.03485370449758052,0.525201848367471,0.060553526521718304,0.10996495997254385,0.2741542639685993,0.08124143712376233,0.36932578692284596,0.01313279064729104,0.1978947724956781,0.022816420757228718,0.041434528084594496
2001_2025,2006,2007,2006-2007,0.5647445425551187,-0.12702884395211367,0.33719807297466486,1.0102222672571544,0.2445911309471247,0.02152170261154973,0.5016503192216577,0.20119459143662236,0.04525500369420138,0.12012940969453048,0.35989946073917883,0.08713747358634323,0.007667272257931781,0.17871678859119203
2001_2025,2007,2008,2007-2008,0.3134607923617627,-0.23446198139891283,0.0013746618561469859,0.629142167545818,0.04271572759992326,0.004123841750735213,-0.5550847277732114,0.1760655741847597,0.13169329110817252,0.0007721240898704834,0.35337841182051116,0.023992694747994554,0.0023162914896620694,0.3117816125590295
2001_2025,2008,2009,2008-2009,0.0851097127624676,0.42162851799027545,0.5334371839181076,0.548361275743503,0.5450446681364698,0.005990287042461073,1.0152119583801844,0.02697798754097473,0.1336473656891179,0.1690883594190867,0.17381898240273555,0.1727676875998667,0.0018987949078080257,0.32180082244041047
2001_2025,2009,2010,2009-2010,0.23975907042889433,0.05210621906968127,0.28888352333503775,-0.16977281890515328,0.30141382952791096,0.012006286472812988,-0.041952989628853965,0.21680098686375868,0.047116798108359254,0.2612215372527071,0.15351625536183958,0.27255200639183247,0.010856626826332396,0.0379357891951705
2001_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.1309902272335286,0.5753928925385814,0.28654824712015725,0.012259822862110248,0.08742857525621806,0.19520051275545758,0.07628351879782543,0.08733914148913845,0.38364939365803746,0.19105912270901135,0.008174368624284256,0.058293941966245426
2001_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.08580736736640682,0.19942482250381954,0.0681354945161603,0.015558625242196422,0.09518507166789525,0.33903752179504015,0.17486661874533718,0.08987197398914035,0.20887137096655475,0.07136300272149923,0.016295621296742883,0.09969389048568547
2001_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.16313392684073058,-0.1171886707627754,0.25960926851431165,0.019572380794751876,0.5843111356427808,0.08056079235010369,0.05427091724739762,0.12339255332983018,0.08864011053240527,0.19636534919768955,0.014804315005339382,0.4419659623372343
2001_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,0.11176768531511883,0.02401969105415036,0.12243904198528344,-0.001422558695518772,-0.05965609482294798,0.3287860882411918,0.11516021823350796,0.19463779222699135,0.041829081666790446,0.21322142215984327,0.0024773142883690773,0.10388808318330608
2001_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.129315822492738,0.38060505594695404,0.1734016742452238,0.02405357865114266,0.44559935202214884,0.10419084544675307,0.01367002512941129,0.09893926516304803,0.29120013179243487,0.13266925807805244,0.018403342687777283,0.340927131702523
2001_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.017051459148507142,0.1706062471131822,0.008582846553958955,0.15203085084005888,0.4727572928838491,0.17477243028348796,0.0069763410250110085,0.014273991300451885
2001_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.3557565153916764,0.13508535957427628,0.278827965711846,0.20856013938151427,0.047802529622584994,0.11703927024621702,0.001916317285348604,0.21076841817821285
2001_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,-0.010311495578024132,0.08349771112310089,0.3446530359526488,0.506019259504668,0.016217347218689383,0.04475669563540471,0.0011799132075743179,0.0036760373579137256
2001_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.2910457101118993,0.1674601385817218,0.05077918888430329,0.11430898020859413,0.32412438170918273,0.07084555999074577,0.006152157624374672,0.2663295930010775
2001_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.3102872141541846,0.10741855360404493,0.03345169554277616,0.161692699074221,0.32239504961848536,0.10016383190109393,0.013881966555450615,0.2609962037039279
2001_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.6517055948713533,0.13860367542380975,0.1137368616085769,0.30792167617866817,0.19001282223251445,0.025628410109162204,0.004585927526405458,0.21951062692086307
2001_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,-0.38671336245533894,0.07836893636308469,0.2255613499965978,0.15028391256875293,0.08372177089525008,0.12885959629063404,0.023349755124927853,0.30985467876075257
2001_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.5883012847341824,0.067929934627759,0.10341599258843605,0.21341450194370276,0.12365639941170359,0.0053262800713070055,0.02599747221561585,0.4602594191414758
