year,Revenue,Net Margin,EPS,FCF,NetCash,Shares,Price
2001,86.426,0.08082058639761194,0.0009349434616867277,18.029,17.677,7471.04,
2002,439.508,0.22674445061295836,0.011292055132278501,118.067,144.42999999999998,8825.32,
2003,1465.934,0.07206872887865347,0.010291539055011338,218.644,329.704,10265.52,
2004,3189.223,0.12514615628947867,0.036578702328974526,658.049,2132.297,10911.24,4.759786605834961
2005,6138.56,0.23871999296251886,0.12551623303206177,1621.205,8048.616,11674.96,10.242465019226074
2006,10604.917,0.2901904842819609,0.24854352152170262,1677.71,12275.764000000001,12381.92,11.36877727508545
2007,16593.986,0.2533279225377194,0.33235191802915787,3372.57,15278.307,12648.4,17.071928024291992
2008,21795.55,0.1939321558758554,0.33280878953368986,5494.396,15930.931,12700.56,7.595561504364014
2009,23650.563,0.2756994833484514,0.5103413730057356,8507.31,24614.0,12776.64,15.306666374206543
2010,29321.0,0.29006514102520375,0.6577705869432732,7063.0,32033.0,12930.04,14.664505958557129
2011,37905.0,0.25687903970452447,0.743932105594504,11127.0,41212.0,13088.56,15.946602821350098
2012,50175.0,0.21399103139013453,0.8077669610749161,13346.0,44020.0,13292.2,17.464481353759766
2013,55519.0,0.22934490895008916,0.9395411574072707,11782.0,55448.0,13552.36,27.669172286987305
2014,66001.0,0.21417857305192345,1.0445514978289692,12065.0,62237.0,13533.0809724372,26.018537521362305
2015,74989.0,0.21800530744509194,1.1796285339067438,16657.0,73029.0,13858.6,37.61238098144531
2016,90272.0,0.2157701169797944,1.3938648620894591,26064.0,88276.0,13974.095,38.253726959228516
2017,110855.0,0.11422128005051645,0.9031837906257055,23961.0,105715.0,14019.295,51.86273956298828
2018,136819.0,0.22464716157843576,2.185174639433032,22871.0,118987.0,14065.695,51.32795715332031
2019,161857.0,0.2121811228430034,2.4581404653739534,30972.0,128199.0,13971.13,66.26673889160156
2020,182527.0,0.22061941520980458,2.9306676477041864,42843.0,143465.0,13740.555,86.82846069335938
2021,257637.0,0.2951167728237792,5.6098528237223295,67012.0,154381.0,13553.475,143.41505432128906
2022,282836.0,0.2120380715326196,4.5576606157006445,60010.0,129553.0,13158.505,87.95453643798828
2023,307394.0,0.24006649446638517,5.800923651370738,69495.0,128671.0,12721.25,139.69830322265625
2024,350018.0,0.28603671811164,8.043383076583181,72764.0,122756.0,12447.25,189.4539031982422
2025,402836.0,0.3280987796522654,10.807031888798038,73266.0,148983.0,12230.0,313.3904724121094
