overall_rank,metric,type,mean_abs,mean,positive_periods,negative_periods,periods
1,EPS,factor,0.970376,0.918027,21,3,24
2,NetCash,factor,0.854002,0.836202,21,3,24
3,eff.NetMargin,derived-effective,0.750608,0.427898,14,10,24
4,FCF,factor,0.661331,0.618195,19,5,24
5,Revenue,factor,0.556757,0.556757,24,0,24
6,Price,factor,0.393783,0.293428,16,5,21
7,Net Margin,factor,0.343853,0.159767,14,10,24
8,eff.Shares,derived-effective,0.080288,-0.066627,8,16,24
9,Shares,factor,0.033646,0.02201,16,8,24
