window_label,period,eps_revenue_log_contribution,eps_net_margin_log_contribution,eps_share_count_log_contribution,eps_log_change,fcf_revenue_log_contribution,fcf_margin_log_contribution,fcf_share_count_log_contribution,fcf_per_share_log_change,eps_revenue_weight,eps_net_margin_weight,eps_share_count_weight,fcf_revenue_weight,fcf_margin_weight,fcf_share_count_weight,net_margin_minus_fcf_margin_contribution,share_count_sensitivity_gap
2015_2025,2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.1668807779489357,0.1854858987065493,0.2622386046581692,-0.00829927988804079,0.4394252234766776,0.9088391012673612,0.05049629766478972,0.040664601067849006,0.406746107370765,0.5750546666396538,0.018199225989581264,-0.272544445527742,0.0
2015_2025,2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,-0.4339095780055395,0.20539570622458758,-0.28952324948091523,-0.003229336588466706,-0.08735687984479448,0.2431578849150161,0.7530190621645317,0.0038230529204521337,0.412318398761826,0.5811989199996302,0.006482681238543714,-0.34655269816074497,0.0
2015_2025,2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.8835249647810293,0.2104358433889969,-0.25699361950913635,-0.003304259123236539,-0.0498620352433761,0.23640931096453882,0.7598785950784985,0.003712093956962685,0.4470379612604932,0.545942658209368,0.007019380530138727,0.9333870000244056,0.0
2015_2025,2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.11770940384932707,0.16805434492660015,0.13515949311465486,0.006745796544663331,0.3099596345859183,0.7247130442722454,0.2461965638544627,0.029090391873291863,0.5421813880736681,0.43605514406808904,0.021763467858242843,-0.19225023073659137,0.0
2015_2025,2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.17582510746518046,0.12018487792544265,0.2042738226889862,0.01664137862243626,0.34110007923686486,0.6835478712802346,0.22180478931329384,0.09464733940647145,0.35234491353484687,0.598867708110778,0.04878737835437509,-0.16527497177168457,0.0
2015_2025,2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.6492942213777895,0.34465351017104895,0.1026759265213312,0.013708706980862195,0.4610381436732425,0.5308125327832135,0.44807422374486316,0.02111324347192339,0.747559643167659,0.22270592559495916,0.029734431237381842,0.18825607770454714,0.0
2015_2025,2021-2022,0.09331560690852661,-0.3306052768464057,0.029574654390378728,-0.20771501554750033,0.09331560690852661,-0.20367609973839107,0.029574654390378728,-0.08078583843948564,0.205769625187858,0.7290155007886135,0.0652148740235285,0.28574776229897497,0.6236897734703596,0.09056246423066543,-0.12692917710801466,0.0
2015_2025,2022-2023,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.24120768609736518,0.0832630880066023,0.06348050452869762,0.033794494096282664,0.18053808663158244,0.34519251585122623,0.5147021059037319,0.14010537824504188,0.4611940314650294,0.3516183521886988,0.18718761634627182,0.0606695994657825,0.0
2015_2025,2023-2024,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.3268326202473301,0.1298542693610936,-0.08388774949784526,0.021774108545784845,0.06774062840903314,0.3973112269602298,0.5360671838932911,0.06662158914647906,0.5513604133696755,0.35618685829394603,0.09245272833637858,0.259091991838297,0.0
2015_2025,2024-2025,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.29534724771356924,0.14054494949761556,-0.1336696228186455,0.017607765279138352,0.02448309195810848,0.4758634136110779,0.46451942247272204,0.05961716391619995,0.4816113483830555,0.4580513744084024,0.060337277208542026,0.2708641557554605,0.0
2010_2025,2010-2011,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,0.12309355627749004,0.2567790466594214,0.19772565008935686,-0.012185279871304197,0.4423194168774742,0.6576245018436252,0.31116836225708144,0.031207135899293442,0.5502133311692209,0.4236766590132255,0.026110009817553563,-0.31922586059998415,0.0
2010_2025,2011-2012,0.28043386517413466,-0.18267120671875528,-0.015438830792641665,0.08232382766273771,0.28043386517413466,-0.0985917378682833,-0.015438830792641665,0.1664032965132098,0.5860149165006033,0.3817229844401447,0.03226209905925199,0.7109230671259822,0.2499382185353324,0.0391387143386854,-0.08407946885047198,0.0
2010_2025,2012-2013,0.10120840982656026,0.06929291831273993,-0.01938330487787237,0.15111802326142773,0.10120840982656026,-0.2258521812084793,-0.01938330487787237,-0.1440270762597914,0.5329994756205854,0.3649211482346404,0.1020793761447742,0.2921350643510883,0.6519156027077279,0.0559493329411839,0.29514509952121926,0.0
2010_2025,2013-2014,0.1729445889178319,-0.06841690249173527,0.001423571492762839,0.1059512579188595,0.1729445889178319,-0.14920883294033238,0.001423571492762839,0.025159327470262435,0.7123361991483215,0.28180029559420916,0.00586350525746935,0.5344773963279562,0.4611231206370466,0.004399483034997304,0.08079193044859712,0.0
2010_2025,2014-2015,0.12767154268624245,0.01770928799839314,-0.02376884815002728,0.12161198253460828,0.12767154268624245,0.19485030673173312,-0.02376884815002728,0.2987530012679484,0.7547844226830389,0.10469595993559805,0.14051961738136312,0.3686831427551442,0.5626784320230531,0.06863842522180277,-0.17714101873333998,0.0
2010_2025,2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.1668807779489357,0.1854858987065493,0.2622386046581692,-0.00829927988804079,0.4394252234766776,0.9088391012673612,0.05049629766478972,0.040664601067849006,0.406746107370765,0.5750546666396538,0.018199225989581264,-0.272544445527742,0.0
2010_2025,2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,-0.4339095780055395,0.20539570622458758,-0.28952324948091523,-0.003229336588466706,-0.08735687984479448,0.2431578849150161,0.7530190621645317,0.0038230529204521337,0.412318398761826,0.5811989199996302,0.006482681238543714,-0.34655269816074497,0.0
2010_2025,2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.8835249647810293,0.2104358433889969,-0.25699361950913635,-0.003304259123236539,-0.0498620352433761,0.23640931096453882,0.7598785950784985,0.003712093956962685,0.4470379612604932,0.545942658209368,0.007019380530138727,0.9333870000244056,0.0
2010_2025,2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.11770940384932707,0.16805434492660015,0.13515949311465486,0.006745796544663331,0.3099596345859183,0.7247130442722454,0.2461965638544627,0.029090391873291863,0.5421813880736681,0.43605514406808904,0.021763467858242843,-0.19225023073659137,0.0
2010_2025,2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.17582510746518046,0.12018487792544265,0.2042738226889862,0.01664137862243626,0.34110007923686486,0.6835478712802346,0.22180478931329384,0.09464733940647145,0.35234491353484687,0.598867708110778,0.04878737835437509,-0.16527497177168457,0.0
