window_label,year,revenue,net_income,free_cash_flow,average_diluted_shares,net_margin,fcf_margin,rev_per_share,eps,fcf_per_share
2015_2025,2015,74989.0,16348.0,16657.0,13858.6,0.21800530744509194,0.2221259118003974,5.411008326959433,1.1796285339067438,1.201925158385407
2015_2025,2016,90272.0,19478.0,26064.0,13974.095,0.2157701169797944,0.28872740163062743,6.459953220584231,1.3938648620894591,1.8651655080346885
2015_2025,2017,110855.0,12662.0,23961.0,14019.295,0.11422128005051645,0.21614721934058004,7.9073163094149885,0.9031837906257055,1.7091444327264673
2015_2025,2018,136819.0,30736.0,22871.0,14065.695,0.22464716157843576,0.16716245550691058,9.727141104652134,2.185174639433032,1.6260127921158536
2015_2025,2019,161857.0,34343.0,30972.0,13971.13,0.2121811228430034,0.19135409651729612,11.58510442605573,2.4581404653739534,2.216857190506423
2015_2025,2020,182527.0,40269.0,42843.0,13740.555,0.22061941520980458,0.23472143847211646,13.283815682845416,2.9306676477041864,3.1179963254759357
2015_2025,2021,257637.0,76033.0,67012.0,13553.475,0.2951167728237792,0.2601023921253547,19.008925755203002,5.6098528237223295,4.944267060661565
2015_2025,2022,282836.0,59972.0,60010.0,13158.505,0.2120380715326196,0.21217242500954617,21.49453908327732,4.5576606157006445,4.560548481761416
2015_2025,2023,307394.0,73795.0,69495.0,12721.25,0.24006649446638517,0.22607793255561268,24.163820379286626,5.800923651370738,5.4629065539943005
2015_2025,2024,350018.0,100118.0,72764.0,12447.25,0.28603671811164,0.20788645155392008,28.120106850910844,8.043383076583181,5.845789230552933
2015_2025,2025,402836.0,132170.0,73266.0,12230.0,0.3280987796522654,0.18187550268595656,32.938348323793946,10.807031888798038,5.99067865903516
2010_2025,2010,29321.0,8505.0,7063.0,12930.04,0.29006514102520375,0.24088537225879061,2.2676650652279497,0.6577705869432732,0.5462473433956894
2010_2025,2011,37905.0,9737.0,11127.0,13088.56,0.25687903970452447,0.29354966363276613,2.8960405117140464,0.743932105594504,0.8501317180805222
2010_2025,2012,50175.0,10737.0,13346.0,13292.2,0.21399103139013453,0.26598903836571997,3.7747701659619923,0.8077669610749161,1.0040474864958395
2010_2025,2013,55519.0,12733.0,11782.0,13552.36,0.22934490895008916,0.21221563788973144,4.096629664501238,0.9395411574072707,0.8693688774501267
2010_2025,2014,66001.0,14136.0,12065.0,13533.0809724372,0.21417857305192345,0.1828002606021121,4.877012125651514,1.0445514978289692,0.8915190875287573
2010_2025,2015,74989.0,16348.0,16657.0,13858.6,0.21800530744509194,0.2221259118003974,5.411008326959433,1.1796285339067438,1.201925158385407
