window_label,year,revenue,net_income,average_diluted_shares,net_margin,rev_per_share,eps
2015_2025,2015,74989.0,16348.0,13858.6,0.21800530744509194,5.411008326959433,1.1796285339067438
2015_2025,2016,90272.0,19478.0,13974.095,0.2157701169797944,6.459953220584231,1.3938648620894591
2015_2025,2017,110855.0,12662.0,14019.295,0.11422128005051645,7.9073163094149885,0.9031837906257055
2015_2025,2018,136819.0,30736.0,14065.695,0.22464716157843576,9.727141104652134,2.185174639433032
2015_2025,2019,161857.0,34343.0,13971.13,0.2121811228430034,11.58510442605573,2.4581404653739534
2015_2025,2020,182527.0,40269.0,13740.555,0.22061941520980458,13.283815682845416,2.9306676477041864
2015_2025,2021,257637.0,76033.0,13553.475,0.2951167728237792,19.008925755203002,5.6098528237223295
2015_2025,2022,282836.0,59972.0,13158.505,0.2120380715326196,21.49453908327732,4.5576606157006445
2015_2025,2023,307394.0,73795.0,12721.25,0.24006649446638517,24.163820379286626,5.800923651370738
2015_2025,2024,350018.0,100118.0,12447.25,0.28603671811164,28.120106850910844,8.043383076583181
2015_2025,2025,402836.0,132170.0,12230.0,0.3280987796522654,32.938348323793946,10.807031888798038
2010_2025,2010,29321.0,8505.0,12930.04,0.29006514102520375,2.2676650652279497,0.6577705869432732
2010_2025,2011,37905.0,9737.0,13088.56,0.25687903970452447,2.8960405117140464,0.743932105594504
2010_2025,2012,50175.0,10737.0,13292.2,0.21399103139013453,3.7747701659619923,0.8077669610749161
2010_2025,2013,55519.0,12733.0,13552.36,0.22934490895008916,4.096629664501238,0.9395411574072707
2010_2025,2014,66001.0,14136.0,13533.0809724372,0.21417857305192345,4.877012125651514,1.0445514978289692
2010_2025,2015,74989.0,16348.0,13858.6,0.21800530744509194,5.411008326959433,1.1796285339067438
2010_2025,2016,90272.0,19478.0,13974.095,0.2157701169797944,6.459953220584231,1.3938648620894591
2010_2025,2017,110855.0,12662.0,14019.295,0.11422128005051645,7.9073163094149885,0.9031837906257055
2010_2025,2018,136819.0,30736.0,14065.695,0.22464716157843576,9.727141104652134,2.185174639433032
2010_2025,2019,161857.0,34343.0,13971.13,0.2121811228430034,11.58510442605573,2.4581404653739534
2010_2025,2020,182527.0,40269.0,13740.555,0.22061941520980458,13.283815682845416,2.9306676477041864
2010_2025,2021,257637.0,76033.0,13553.475,0.2951167728237792,19.008925755203002,5.6098528237223295
2010_2025,2022,282836.0,59972.0,13158.505,0.2120380715326196,21.49453908327732,4.5576606157006445
2010_2025,2023,307394.0,73795.0,12721.25,0.24006649446638517,24.163820379286626,5.800923651370738
2010_2025,2024,350018.0,100118.0,12447.25,0.28603671811164,28.120106850910844,8.043383076583181
2010_2025,2025,402836.0,132170.0,12230.0,0.3280987796522654,32.938348323793946,10.807031888798038
2001_2025,2001,86.426,6.98500000000001,7471.04,0.08082058639761194,0.01156813509230308,0.0009349434616867277
2001_2025,2002,439.508,99.6560000000001,8825.32,0.22674445061295836,0.04980080042423391,0.011292055132278501
2001_2025,2003,1465.934,105.648,10265.52,0.07206872887865347,0.14280172850474207,0.010291539055011338
2001_2025,2004,3189.223,399.119,10911.24,0.12514615628947867,0.2922878609580579,0.036578702328974526
2001_2025,2005,6138.56,1465.397,11674.96,0.23871999296251886,0.5257885251855253,0.12551623303206177
2001_2025,2006,10604.917,3077.446,12381.92,0.2901904842819609,0.8564840509387881,0.24854352152170262
2001_2025,2007,16593.986,4203.72,12648.4,0.2533279225377194,1.3119434869232474,0.33235191802915787
2001_2025,2008,21795.55,4226.858,12700.56,0.1939321558758554,1.7161093684058026,0.33280878953368986
2001_2025,2009,23650.563,6520.448,12776.64,0.2756994833484514,1.8510784525509054,0.5103413730057356
2001_2025,2010,29321.0,8505.0,12930.04,0.29006514102520375,2.2676650652279497,0.6577705869432732
2001_2025,2011,37905.0,9737.0,13088.56,0.25687903970452447,2.8960405117140464,0.743932105594504
2001_2025,2012,50175.0,10737.0,13292.2,0.21399103139013453,3.7747701659619923,0.8077669610749161
2001_2025,2013,55519.0,12733.0,13552.36,0.22934490895008916,4.096629664501238,0.9395411574072707
2001_2025,2014,66001.0,14136.0,13533.0809724372,0.21417857305192345,4.877012125651514,1.0445514978289692
2001_2025,2015,74989.0,16348.0,13858.6,0.21800530744509194,5.411008326959433,1.1796285339067438
2001_2025,2016,90272.0,19478.0,13974.095,0.2157701169797944,6.459953220584231,1.3938648620894591
2001_2025,2017,110855.0,12662.0,14019.295,0.11422128005051645,7.9073163094149885,0.9031837906257055
2001_2025,2018,136819.0,30736.0,14065.695,0.22464716157843576,9.727141104652134,2.185174639433032
2001_2025,2019,161857.0,34343.0,13971.13,0.2121811228430034,11.58510442605573,2.4581404653739534
2001_2025,2020,182527.0,40269.0,13740.555,0.22061941520980458,13.283815682845416,2.9306676477041864
2001_2025,2021,257637.0,76033.0,13553.475,0.2951167728237792,19.008925755203002,5.6098528237223295
2001_2025,2022,282836.0,59972.0,13158.505,0.2120380715326196,21.49453908327732,4.5576606157006445
2001_2025,2023,307394.0,73795.0,12721.25,0.24006649446638517,24.163820379286626,5.800923651370738
2001_2025,2024,350018.0,100118.0,12447.25,0.28603671811164,28.120106850910844,8.043383076583181
2001_2025,2025,402836.0,132170.0,12230.0,0.3280987796522654,32.938348323793946,10.807031888798038
