window_label,slot,start_year,end_year,years_in_slot,revenue_start,revenue_end,revenue_total_in_slot,revenue_total_growth,revenue_cagr,net_income_start,net_income_end,net_income_total_in_slot,shares_start,shares_end,share_count_total_growth,net_margin_start,net_margin_end,net_margin_total_growth,rev_per_share_start,rev_per_share_end,rev_per_share_total_growth,rev_per_share_cagr,eps_start,eps_end,eps_total_growth,eps_cagr,rev_per_share_log_contribution,net_margin_log_contribution,revenue_log_contribution,share_count_log_contribution,eps_log_change,two_factor_tie_out_gap,three_factor_tie_out_gap,dominant_two_factor,dominant_three_factor,dominant_three_factor_direction,eps_direction,rank_1_factor,rank_1_log_contribution,rank_2_factor,rank_2_log_contribution,rank_3_factor,rank_3_log_contribution
2015_2025,2015-2020,2015,2020,5,74989.0,182527.0,757319.0,1.4340503273813492,0.19471938582946868,16348.0,40269.0,153836.0,13858.6,13740.555,-0.00851781565237475,0.21800530744509194,0.22061941520980458,0.011991028087107614,5.411008326959433,13.283815682845416,1.4549612346114964,0.19676513282879937,1.1796285339067438,2.9306676477041864,1.484398743728483,0.19962155378478874,0.8981109707395319,0.011919705299401284,0.8895566711721765,0.008554299567355376,0.9100306760389332,0.0,-1.1102230246251565e-16,rev_per_share,revenue,positive,positive,revenue,0.8895566711721765,net_margin,0.011919705299401284,share_count,0.008554299567355376
2015_2025,2020-2025,2020,2025,5,182527.0,402836.0,1783248.0,1.206994033759389,0.1715483907713573,40269.0,132170.0,482357.0,13740.555,12230.0,-0.10993406015986984,0.22061941520980458,0.3280987796522654,0.4871709243733158,13.283815682845416,32.938348323793946,1.4795848655390627,0.1991563053552452,2.9306676477041864,10.807031888798038,2.6875665165458127,0.29821903481592194,0.9080911532373337,0.3968756066512197,0.7916314239448868,0.11645972929244697,1.3049667598885537,4.440892098500626e-16,2.220446049250313e-16,rev_per_share,revenue,positive,positive,revenue,0.7916314239448868,net_margin,0.3968756066512197,share_count,0.11645972929244697
2010_2025,2010-2015,2010,2015,5,29321.0,74989.0,313910.0,1.557518502097473,0.20660121097853112,8505.0,16348.0,72196.0,12930.04,13858.6,0.07181416298789478,0.29006514102520375,0.21800530744509194,-0.2484263821754802,2.2676650652279497,5.411008326959433,1.386158524877001,0.1899805378157562,0.6577705869432732,1.1796285339067438,0.7933737952446271,0.1239168024181676,0.8696847610651082,-0.2855861134099849,0.9390374532641907,-0.06935269219908238,0.5840986476551233,0.0,-2.220446049250313e-16,rev_per_share,revenue,positive,positive,revenue,0.9390374532641907,net_margin,-0.2855861134099849,share_count,-0.06935269219908238
2010_2025,2015-2020,2015,2020,5,74989.0,182527.0,757319.0,1.4340503273813492,0.19471938582946868,16348.0,40269.0,153836.0,13858.6,13740.555,-0.00851781565237475,0.21800530744509194,0.22061941520980458,0.011991028087107614,5.411008326959433,13.283815682845416,1.4549612346114964,0.19676513282879937,1.1796285339067438,2.9306676477041864,1.484398743728483,0.19962155378478874,0.8981109707395319,0.011919705299401284,0.8895566711721765,0.008554299567355376,0.9100306760389332,0.0,-1.1102230246251565e-16,rev_per_share,revenue,positive,positive,revenue,0.8895566711721765,net_margin,0.011919705299401284,share_count,0.008554299567355376
2010_2025,2020-2025,2020,2025,5,182527.0,402836.0,1783248.0,1.206994033759389,0.1715483907713573,40269.0,132170.0,482357.0,13740.555,12230.0,-0.10993406015986984,0.22061941520980458,0.3280987796522654,0.4871709243733158,13.283815682845416,32.938348323793946,1.4795848655390627,0.1991563053552452,2.9306676477041864,10.807031888798038,2.6875665165458127,0.29821903481592194,0.9080911532373337,0.3968756066512197,0.7916314239448868,0.11645972929244697,1.3049667598885537,4.440892098500626e-16,2.220446049250313e-16,rev_per_share,revenue,positive,positive,revenue,0.7916314239448868,net_margin,0.3968756066512197,share_count,0.11645972929244697
2001_2025,2001-2005,2001,2005,4,86.426,6138.56,11319.651,70.02677435031126,1.9030567319319318,6.98500000000001,1465.397,2076.8050000000003,7471.04,11674.96,0.5626954212532658,0.08082058639761194,0.23871999296251886,1.953702807699159,0.01156813509230308,0.5257885251855253,44.45145098930955,1.596491696316865,0.0009349434616867277,0.12551623303206177,133.2500784011243,2.4039144539065918,3.816644745071203,1.0830595723110779,4.263056909481162,-0.446412164409959,4.89970431738228,-8.881784197001252e-16,-8.881784197001252e-16,rev_per_share,revenue,positive,positive,revenue,4.263056909481162,net_margin,1.0830595723110779,share_count,-0.446412164409959
2001_2025,2005-2010,2005,2010,5,6138.56,29321.0,108104.576,3.776527394046812,0.36716979390546234,1465.397,8505.0,27998.869,11674.96,12930.04,0.10750186724408484,0.23871999296251886,0.29006514102520375,0.21508524453897127,0.5257885251855253,2.2676650652279497,3.3128842806674044,0.33953344423251863,0.12551623303206177,0.6577705869432732,4.2405220508430395,0.39275559101109847,1.4616068869481038,0.19481423444578572,1.5637137958830096,-0.10210690893490602,1.6564211213938898,2.220446049250313e-16,4.440892098500626e-16,rev_per_share,revenue,positive,positive,revenue,1.5637137958830096,net_margin,0.19481423444578572,share_count,-0.10210690893490602
2001_2025,2010-2015,2010,2015,5,29321.0,74989.0,313910.0,1.557518502097473,0.20660121097853112,8505.0,16348.0,72196.0,12930.04,13858.6,0.07181416298789478,0.29006514102520375,0.21800530744509194,-0.2484263821754802,2.2676650652279497,5.411008326959433,1.386158524877001,0.1899805378157562,0.6577705869432732,1.1796285339067438,0.7933737952446271,0.1239168024181676,0.8696847610651082,-0.2855861134099849,0.9390374532641907,-0.06935269219908238,0.5840986476551233,0.0,-2.220446049250313e-16,rev_per_share,revenue,positive,positive,revenue,0.9390374532641907,net_margin,-0.2855861134099849,share_count,-0.06935269219908238
2001_2025,2015-2020,2015,2020,5,74989.0,182527.0,757319.0,1.4340503273813492,0.19471938582946868,16348.0,40269.0,153836.0,13858.6,13740.555,-0.00851781565237475,0.21800530744509194,0.22061941520980458,0.011991028087107614,5.411008326959433,13.283815682845416,1.4549612346114964,0.19676513282879937,1.1796285339067438,2.9306676477041864,1.484398743728483,0.19962155378478874,0.8981109707395319,0.011919705299401284,0.8895566711721765,0.008554299567355376,0.9100306760389332,0.0,-1.1102230246251565e-16,rev_per_share,revenue,positive,positive,revenue,0.8895566711721765,net_margin,0.011919705299401284,share_count,0.008554299567355376
2001_2025,2020-2025,2020,2025,5,182527.0,402836.0,1783248.0,1.206994033759389,0.1715483907713573,40269.0,132170.0,482357.0,13740.555,12230.0,-0.10993406015986984,0.22061941520980458,0.3280987796522654,0.4871709243733158,13.283815682845416,32.938348323793946,1.4795848655390627,0.1991563053552452,2.9306676477041864,10.807031888798038,2.6875665165458127,0.29821903481592194,0.9080911532373337,0.3968756066512197,0.7916314239448868,0.11645972929244697,1.3049667598885537,4.440892098500626e-16,2.220446049250313e-16,rev_per_share,revenue,positive,positive,revenue,0.7916314239448868,net_margin,0.3968756066512197,share_count,0.11645972929244697
