overall_rank,factor,mean_abs_pct_change,mean_weight,mean_pct_change,positive_periods,negative_periods,periods
1,Price,0.527413,0.34322,0.372727,4,1,5
2,EPS,0.42094,0.244239,0.345915,4,1,5
3,Net Margin,0.217982,0.139971,0.105378,4,1,5
4,Revenue,0.17714,0.100013,0.17714,5,0,5
5,FCF,0.176123,0.088301,0.134327,4,1,5
6,NetCash,0.100668,0.067566,0.015228,2,3,5
7,Shares,0.022996,0.01669,-0.022996,0,5,5
