year,revenue,net_income,average_diluted_shares,rev_per_share,net_margin,eps
2015,74989.0,16348.0,13858.6,5.411008326959433,0.21800530744509194,1.1796285339067438
2016,90272.0,19478.0,13974.095,6.459953220584231,0.2157701169797944,1.3938648620894591
2017,110855.0,12662.0,14019.295,7.9073163094149885,0.11422128005051645,0.9031837906257055
2018,136819.0,30736.0,14065.695,9.727141104652134,0.22464716157843576,2.185174639433032
2019,161857.0,34343.0,13971.13,11.58510442605573,0.2121811228430034,2.4581404653739534
2020,182527.0,40269.0,13740.555,13.283815682845416,0.22061941520980458,2.9306676477041864
